"","lm_preds_fit","lm_preds_lwr","lm_preds_upr","glm_preds_fit","glm_preds_lwr","glm_preds_upr","eb_preds_fit","eb_preds_lwr","eb_preds_upr","lm_se","glm_se","eb_se","dur_unemp"
"1",1.03194582800031,1.01137060753274,1.05252104846788,1.02657578031021,1.00506065755345,1.04809090306696,1.02616180671176,1.00448958155147,1.04783403187205,0.0104975614630447,0.0109771034473242,0.0110572577348427,0
"2",1.02554129681634,1.00554334290859,1.04553925072409,1.0204324913,0.999476291923683,1.04138869067632,1.01995337999228,0.998874696183685,1.04103206380087,0.0102030377080353,0.0106919384573063,0.0107544305145873,1
"3",1.01913676563238,0.999511482486118,1.03876204877864,1.0142892022898,0.993706659032486,1.03487174554712,1.01374495327279,0.993055779903473,1.03443412664212,0.0100128995644184,0.0105012975802631,0.0105557006986335,2
"4",1.01273223444841,0.993263273728532,1.03220119516829,1.0081459132796,0.987741578172673,1.02855024838653,1.00753652655331,0.987021208027679,1.02805184507895,0.00993314322442895,0.0104103750545548,0.010466999247773,3
"5",1.00632770326445,0.986793521957808,1.02586188457108,1.0020026242694,0.981575933275759,1.02242931526304,1.00132809983383,0.980765509782728,1.02189068988494,0.00996641903399891,0.010421781119204,0.0104911173730128,4
"6",0.99992317208048,0.980104414248671,1.01974192991229,0.995859335259197,0.975210375761904,1.01650829475649,0.995119673114352,0.97429019062173,1.01594915560697,0.0101116111386783,0.0105351834169863,0.0106272869860318,5
"7",0.993518640896514,0.973205167546588,1.01383211424644,0.989716046248996,0.968651232903766,1.01078085959423,0.988911246394871,0.967603501603123,1.01021899118662,0.0103640170152687,0.0107473537475664,0.0108712983631363,6
"8",0.987114109712548,0.966110625431425,1.00811759399367,0.983572757238794,0.961909650264141,1.00523586421345,0.98270281967539,0.960719233725661,1.00468640562512,0.0107160634087366,0.0110526055993129,0.011216115280474,7
"9",0.980709578528583,0.958839264876886,1.00257989218028,0.977429468228593,0.955000222679567,0.999858713777618,0.976494392955909,0.953654919883897,0.99933386602792,0.0111583232916822,0.011443492627054,0.0116527923836794,8
"10",0.974305047344617,0.951411161668158,0.997198933021076,0.971286179218391,0.947939468152824,0.994632890283958,0.970285966236428,0.946429930834369,0.994142001638487,0.0116805539165607,0.0119115872783504,0.0121714466337034,9
"11",0.967900516160651,0.943846316976789,0.991954715344513,0.96514289020819,0.940744451962331,0.989541328454048,0.964077539516947,0.939063848547789,0.989091230486105,0.0122725506040112,0.0124481827784992,0.0127620872291622,10
"12",0.961495984976685,0.936163513517035,0.986828456436335,0.958999601197988,0.93343173719506,0.984567465200916,0.957869112797466,0.931575302449859,0.984162923145072,0.0129247303365562,0.0130448285729223,0.0134152093610238,11
"13",0.955091453792719,0.928379680414711,0.981803227170727,0.952856312187786,0.926016704141379,0.979695920234194,0.951660686077985,0.923981278476116,0.979340093679854,0.013628455805106,0.0136936775746978,0.0141221467356475,12
"14",0.948686922608753,0.920509650231728,0.976864194985778,0.946713023177585,0.918513192325703,0.974912854029466,0.945452259358504,0.916296811090915,0.974607707626092,0.0143761593760332,0.0143876688019804,0.0148752287079532,13
"15",0.942282391424787,0.91256617304009,0.971998609809485,0.940569734167383,0.910933382002483,0.970206086332284,0.939243832639023,0.908534939170245,0.969952726107801,0.01516133591056,0.0151205878392349,0.0156678027901929,14
"16",0.935877860240821,0.90456007445651,0.967195646025132,0.934426445157182,0.903287831045655,0.965565059268709,0.933035405919542,0.900706819059479,0.965363992779604,0.0159784621348525,0.0158870480160853,0.0164941769694197,15
"17",0.929473329056855,0.896500478214929,0.962446179898781,0.92828315614698,0.895585599395618,0.960980712898343,0.92682697920006,0.892821915833562,0.960832042566559,0.0168228830826153,0.0166824269139603,0.0173495221257646,16
"18",0.923068797872889,0.888395044200655,0.957742551545123,0.922139867136779,0.887834413404058,0.9564453208695,0.92061855248058,0.884888221434678,0.95634888352648,0.017690690649099,0.0175027825166943,0.0182297607377046,17
"19",0.916664266688923,0.880250195100201,0.953078338277646,0.915996578126577,0.880040840007544,0.95195231624561,0.914410125761098,0.876912469905847,0.95190778161635,0.0185786079534298,0.0183447643464454,0.019131457069006,18
"20",0.910259735504957,0.872071319192135,0.948448151817779,0.909853289116376,0.872210453660761,0.94749612457199,0.908201699041618,0.868900334580225,0.94750306350301,0.0194838858738887,0.0192055282936808,0.0200517165619351,19
"21",0.903855204320991,0.863862945243,0.943847463398983,0.903710000106174,0.864347987604655,0.943072012607693,0.901993272322136,0.860856601111224,0.943129943533049,0.0204042138153016,0.0200826594395506,0.0209880975565878,20
"22",0.897450673137026,0.855628889976717,0.939272456297334,0.897566711095973,0.856457466335476,0.938675955856469,0.895784845602655,0.852785315326137,0.938784375879174,0.0213376444695453,0.0209741044696411,0.0219385358553667,21
"23",0.89104614195306,0.847372380698485,0.934719903207634,0.891423422085771,0.848542319126957,0.934304525044585,0.889576418883174,0.844689907484014,0.934462930282335,0.022282531252334,0.021878113754497,0.0229012813261023,22
"24",0.884641610769094,0.839096156414106,0.930187065124081,0.88528013307557,0.840605475978645,0.929954790172494,0.883367992163693,0.836573295636504,0.930162688690883,0.0232374767117282,0.0227931923963898,0.0238748451669335,23
"25",0.878237079585128,0.830802550837075,0.925671608333181,0.879136844065368,0.832649448009357,0.925624240121379,0.877159565444212,0.828437971089597,0.925881159798828,0.0242012901775781,0.0237180592122505,0.0248579563033753,24
"26",0.871832548401162,0.822493560394065,0.921171536408259,0.872993555055167,0.824676394470272,0.921310715640061,0.870951138724731,0.820286068846769,0.921616208602693,0.0251729530648453,0.0246516125433133,0.0258495254479398,25
"27",0.865428017217196,0.814170899931437,0.916685134502954,0.866850266044965,0.816688178454018,0.917012353635912,0.86474271200525,0.812119425611098,0.917365998399402,0.0261515904519176,0.0255929018321156,0.0268486155072204,26
"28",0.85902348603323,0.805836048398066,0.912210923668394,0.860706977034763,0.808686413162824,0.912727540906703,0.858534285285769,0.803939627561755,0.913128943009783,0.0271364477730431,0.0265411040162955,0.0278544172061296,27
"29",0.852618954849264,0.797490286383483,0.907747623315045,0.854563688024562,0.800672500347869,0.908454875701255,0.852325858566288,0.795748049762989,0.908903667369587,0.0281268716662147,0.0274955039166801,0.0288662289812749,28
"30",0.846214423665298,0.789134727044762,0.903294120285834,0.84842039901436,0.792647662283661,0.90419313574506,0.846117431846807,0.78754588874043,0.904688974953184,0.029122294194151,0.0284554779238263,0.0298834403603964,29
"31",0.839809892481332,0.780770341664597,0.898849443298067,0.842277110004159,0.784612968414808,0.899941251593509,0.839909005127326,0.77933418948055,0.900483820774101,0.0301222198044566,0.0294204804027298,0.0309055181871303,30
"32",0.833405361297366,0.772397980843374,0.894412741751359,0.836133820993957,0.776569357615037,0.895698284372877,0.833700578407845,0.771113867875028,0.896287288940662,0.0311262145173431,0.0303900323361837,0.0319319951698045,31
"33",0.8270008301134,0.764018392133107,0.889983268093694,0.829990531983756,0.768517656830741,0.89146340713677,0.827492151688364,0.762885729438749,0.892098573937979,0.0321338969287212,0.0313637118127625,0.032962460331436,32
"34",0.820596298929434,0.755632234763991,0.885560363094878,0.823847242973554,0.760458596741639,0.887235889205469,0.821283724968883,0.75465048497283,0.887916964964935,0.0331449306966546,0.0323411460366913,0.0339965510183941,33
"35",0.814191767745468,0.74724009198818,0.881143443502757,0.817703953963353,0.752392824955894,0.883015082970812,0.815075298249402,0.746408763716584,0.88374183278222,0.0341590182435145,0.0333220045956423,0.0350339461902132,34
"36",0.807787236561503,0.738842481464445,0.87673199165856,0.811560664953151,0.744320917162723,0.878800412743579,0.808866871529921,0.738161124429555,0.879572618630287,0.0351758954576826,0.0343059937706266,0.0360743607654929,35
"37",0.801382705377537,0.730439864026598,0.872325546728475,0.80541737594295,0.736243386588647,0.874591365297252,0.80265844481044,0.729908064761987,0.875408824858892,0.0361953272198667,0.0352928517113788,0.0371175408410472,36
