"","acs_occ_code","label","OCC2010_cps","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"327",6520,"sheet metal workers",6520,NA,"Sheet metal workers",6520,"47-2211","47","47-2000","47-2210"
"328",6530,"structural iron and steel workers",6530,NA,"Structural iron and steel workers",6530,"47-2221","47","47-2000","47-2220"
"329",6600,"helpers, construction trades",6600,NA,"Helpers, construction trades",6600,"47-3010","47","47-3000","47-3010"
"330",6660,"construction and building inspectors",6660,NA,"Construction and building inspectors",6660,"47-4011","47","47-4000","47-4010"
"331",6700,"elevator installers and repairers",6700,NA,"Elevator installers and repairers",6700,"47-4021","47","47-4000","47-4020"
"332",6710,"fence erectors",6710,NA,"Fence erectors",6710,"47-4031","47","47-4000","47-4030"
"333",6720,"hazardous materials removal workers",6720,NA,"Hazardous materials removal workers",6720,"47-4041","47","47-4000","47-4040"
"334",6730,"highway maintenance workers",6730,NA,"Highway maintenance workers",6730,"47-4051","47","47-4000","47-4050"
"335",6740,"rail-track laying and maintenance equipment operators",6740,NA,"Rail-track laying and maintenance equipment operators",6740,"47-4061","47","47-4000","47-4060"
"336",6765,"miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers and sewer pipe cleaners",6765,NA,"Miscellaneous construction and related workers",6765,"47-4090","47","47-4000","47-4090"
"337",6800,"derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",6800,NA,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",6800,"47-5010","47","47-5000","47-5010"
"338",6820,"earth drillers, except oil and gas",6820,NA,"Earth drillers, except oil and gas",6820,"47-5021","47","47-5000","47-5020"
"339",6830,"explosives workers, ordnance handling experts, and blasters",6830,NA,"Explosives workers, ordnance handling experts, and blasters",6830,"47-5031","47","47-5000","47-5030"
"340",6840,"mining machine operators",6840,NA,"Mining machine operators",6840,"47-5040","47","47-5000","47-5040"
"341",6940,"miscellaneous extraction workers, including roof bolters and helpers",6940,NA,"Other extraction workers",6940,"47-50XX","47","47-5000","47-50X0"
"342",7000,"first-line supervisors of mechanics, installers, and repairers",7000,NA,"First-line supervisors of mechanics, installers, and repairers",7000,"49-1011","49","49-1000","49-1010"
"343",7010,"computer, automated teller, and office machine repairers",7010,NA,"Computer, automated teller, and office machine repairers",7010,"49-2011","49","49-2000","49-2010"
"344",7020,"radio and telecommunications equipment installers and repairers",7020,NA,"Radio and telecommunications equipment installers and repairers",7020,"49-2020","49","49-2000","49-2020"
"345",7030,"avionics technicians",7030,NA,"Avionics technicians",7030,"49-2091","49","49-2000","49-2090"
"346",7040,"electric motor, power tool, and related repairers",7040,NA,"Electric motor, power tool, and related repairers",7040,"49-2092","49","49-2000","49-2090"
"347",7100,"electrical and electronics repairers, transportation equipment, and industrial and utility",7100,NA,"Electrical and electronics repairers, industrial and utility",7100,"49-209X","49","49-2000","49-2090"
"348",7110,"electronic equipment installers and repairers, motor vehicles",7110,NA,"Electronic equipment installers and repairers, motor vehicles",7110,"49-2096","49","49-2000","49-2090"
"349",7120,"electronic home entertainment equipment installers and repairers",7120,NA,"Electronic home entertainment equipment installers and repairers",7120,"49-2097","49","49-2000","49-2090"
"350",7130,"security and fire alarm systems installers",7130,NA,"Security and fire alarm systems installers",7130,"49-2098","49","49-2000","49-2090"
"351",7140,"aircraft mechanics and service technicians",7140,NA,"Aircraft mechanics and service technicians",7140,"49-3011","49","49-3000","49-3010"
"352",7150,"automotive body and related repairers",7150,NA,"Automotive body and related repairers",7150,"49-3021","49","49-3000","49-3020"
"353",7160,"automotive glass installers and repairers",7160,NA,"Automotive glass installers and repairers",7160,"49-3022","49","49-3000","49-3020"
"354",7200,"automotive service technicians and mechanics",7200,NA,"Automotive service technicians and mechanics",7200,"49-3023","49","49-3000","49-3020"
"355",7210,"bus and truck mechanics and diesel engine specialists",7210,NA,"Bus and truck mechanics and diesel engine specialists",7210,"49-3031","49","49-3000","49-3030"
"356",7220,"heavy vehicle and mobile equipment service technicians and mechanics",7220,NA,"Heavy vehicle and mobile equipment service technicians and mechanics",7220,"49-3040","49","49-3000","49-3040"
"357",7240,"small engine mechanics",7240,NA,"Small engine mechanics",7240,"49-3050","49","49-3000","49-3050"
"358",7260,"miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260,NA,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260,"49-3090","49","49-3000","49-3090"
"359",7300,"control and valve installers and repairers",7300,NA,"Control and valve installers and repairers",7300,"49-9010","49","49-9000","49-9010"
"360",7315,"heating, air conditioning, and refrigeration mechanics and installers",7315,NA,"Heating, air conditioning, and refrigeration mechanics and installers",7315,"49-9021","49","49-9000","49-9020"
"361",7320,"home appliance repairers",7320,NA,"Home appliance repairers",7320,"49-9031","49","49-9000","49-9030"
"362",7330,"industrial and refractory machinery mechanics",7330,NA,"Industrial and refractory machinery mechanics",7330,"49-904X","49","49-9000","49-9040"
"363",7340,"maintenance and repair workers, general",7340,NA,"Maintenance and repair workers, general",7340,"49-9071","49","49-9000","49-9070"
"364",7350,"maintenance workers, machinery",7350,NA,"Maintenance workers, machinery",7350,"49-9043","49","49-9000","49-9040"
"365",7360,"millwrights",7360,NA,"Millwrights",7360,"49-9044","49","49-9000","49-9040"
"366",7410,"electrical power-line installers and repairers",7410,NA,"Electrical power-line installers and repairers",7410,"49-9051","49","49-9000","49-9050"
"367",7420,"telecommunications line installers and repairers",7420,NA,"Telecommunications line installers and repairers",7420,"49-9052","49","49-9000","49-9050"
"368",7430,"precision instrument and equipment repairers",7430,NA,"Precision instrument and equipment repairers",7430,"49-9060","49","49-9000","49-9060"
"369",7510,"coin, vending, and amusement machine servicers and repairers",7510,NA,"Coin, vending, and amusement machine servicers and repairers",7510,"49-9091","49","49-9000","49-9090"
"370",7540,"locksmiths and safe repairers",7540,NA,"Locksmiths and safe repairers",7540,"49-9094","49","49-9000","49-9090"
"371",7560,"riggers",7560,NA,"Riggers",7560,"49-9096","49","49-9000","49-9090"
"372",7610,"helpers--installation, maintenance, and repair workers ",7610,NA,"Helpers--installation, maintenance, and repair workers",7610,"49-9098","49","49-9000","49-9090"
"373",7630,"miscellaneous installation, maintenance, and repair workers, including wind turbine service technicians",7630,NA,"Other installation, maintenance, and repair workers",7630,"49-909X","49","49-9000","49-9090"
"374",7700,"first-line supervisors of production and operating workers",7700,NA,"First-line supervisors of production and operating workers",7700,"51-1011","51","51-1000","51-1010"
"375",7710,"aircraft structure, surfaces, rigging, and systems assemblers",7710,NA,"Aircraft structure, surfaces, rigging, and systems assemblers",7710,"51-2011","51","51-2000","51-2010"
"376",7720,"electrical, electronics, and electromechanical assemblers",7720,NA,"Electrical, electronics, and electromechanical assemblers",7720,"51-2020","51","51-2000","51-2020"
"377",7730,"engine and other machine assemblers",7730,NA,"Engine and other machine assemblers",7730,"51-2031","51","51-2000","51-2030"
"378",7740,"structural metal fabricators and fitters",7740,NA,"Structural metal fabricators and fitters",7740,"51-2041","51","51-2000","51-2040"
"379",7750,"miscellaneous assemblers and fabricators",7750,NA,"Miscellaneous assemblers and fabricators",7750,"51-2090","51","51-2000","51-2090"
"380",7800,"bakers",7800,NA,"Bakers",7800,"51-3011","51","51-3000","51-3010"
"381",7810,"butchers and other meat, poultry, and fish processing workers",7810,NA,"Butchers and other meat, poultry, and fish processing workers",7810,"51-3020","51","51-3000","51-3020"
"382",7830,"food and tobacco roasting, baking, and drying machine operators and tenders",7830,NA,"Food and tobacco roasting, baking, and drying machine operators and tenders",7830,"51-3091","51","51-3000","51-3090"
"383",7840,"food batchmakers",7840,NA,"Food batchmakers",7840,"51-3092","51","51-3000","51-3090"
"384",7850,"food cooking machine operators and tenders",7850,NA,"Food cooking machine operators and tenders",7850,"51-3093","51","51-3000","51-3090"
"385",7900,"computer control programmers and operators",7900,NA,"Computer control programmers and operators",7900,"51-4010","51","51-4000","51-4010"
"386",7920,"extruding and drawing machine setters, operators, and tenders, metal and plastic",7920,NA,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",7920,"51-4021","51","51-4000","51-4020"
"387",7930,"forging machine setters, operators, and tenders, metal and plastic",7930,NA,"Forging machine setters, operators, and tenders, metal and plastic",7930,"51-4022","51","51-4000","51-4020"
"388",7940,"rolling machine setters, operators, and tenders, metal and plastic",7940,NA,"Rolling machine setters, operators, and tenders, metal and plastic",7940,"51-4023","51","51-4000","51-4020"
"389",7950,"machine tool cutting setters, operators, and tenders, metal and plastic",7950,NA,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",7950,"51-4031","51","51-4000","51-4030"
"390",8030,"machinists",8030,NA,"Machinists",8030,"51-4041","51","51-4000","51-4040"
"391",8040,"metal furnace operators, tenders, pourers, and casters",8040,NA,"Metal furnace operators, tenders, pourers, and casters",8040,"51-4050","51","51-4000","51-4050"
"392",8100,"model makers, patternmakers, and molding machine setters, metal and plastic",8100,NA,"Molders and molding machine setters, operators, and tenders, metal and plastic",8100,"51-4070","51","51-4000","51-4070"
"393",8130,"tool and die makers",8130,NA,"Tool and die makers",8130,"51-4111","51","51-4000","51-4110"
"394",8140,"welding, soldering, and brazing workers",8140,NA,"Welding, soldering, and brazing workers",8140,"51-4120","51","51-4000","51-4120"
"395",8220,"miscellaneous metal workers and plastic workers, including multiple machine tool setters",8220,NA,"Metal workers and plastic workers, all other",8220,"51-4199","51","51-4000","51-4190"
"396",8250,"prepress technicians and workers",8250,NA,"Prepress technicians and workers",8250,"51-5111","51","51-5000","51-5110"
"397",8255,"printing press operators",8250,NA,"Printing press operators",8255,"51-5112","51","51-5000","51-5110"
"398",8256,"print binding and finishing workers",8250,NA,"Print binding and finishing workers",8256,"51-5113","51","51-5000","51-5110"
"399",8300,"laundry and dry-cleaning workers",8300,NA,"Laundry and dry-cleaning workers",8300,"51-6011","51","51-6000","51-6010"
"400",8310,"pressers, textile, garment, and related materials",8310,NA,"Pressers, textile, garment, and related materials",8310,"51-6021","51","51-6000","51-6020"
"401",8320,"sewing machine operators",8320,NA,"Sewing machine operators",8320,"51-6031","51","51-6000","51-6030"
"402",8330,"shoe and leather workers",8330,NA,"Shoe and leather workers and repairers",8330,"51-6041","51","51-6000","51-6040"
"403",8350,"tailors, dressmakers, and sewers",8350,NA,"Tailors, dressmakers, and sewers",8350,"51-6050","51","51-6000","51-6050"
"404",8400,"textile bleaching and dyeing, and cutting machine setters, operators, and tenders",8400,NA,"Textile cutting machine setters, operators, and tenders",8400,"51-6062","51","51-6000","51-6060"
"405",8410,"textile knitting and weaving machine setters, operators, and tenders",8410,NA,"Textile knitting and weaving machine setters, operators, and tenders",8410,"51-6063","51","51-6000","51-6060"
"406",8420,"textile winding, twisting, and drawing out machine setters, operators, and tenders",8420,NA,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",8420,"51-6064","51","51-6000","51-6060"
"407",8450,"upholsterers",8450,NA,"Upholsterers",8450,"51-6093","51","51-6000","51-6090"
"408",8460,"miscellaneous textile, apparel, and furnishings workers except upholsterers",8460,NA,"Textile, apparel, and furnishings workers, all other",8460,"51-6099","51","51-6000","51-6090"
"409",8500,"cabinetmakers and bench carpenters",8500,NA,"Cabinetmakers and bench carpenters",8500,"51-7011","51","51-7000","51-7010"
"410",8510,"furniture finishers",8510,NA,"Furniture finishers",8510,"51-7021","51","51-7000","51-7020"
"411",8530,"sawing machine setters, operators, and tenders, wood",8530,NA,"Sawing machine setters, operators, and tenders, wood",8530,"51-7041","51","51-7000","51-7040"
"412",8540,"woodworking machine setters, operators, and tenders, except sawing",8540,NA,"Woodworking machine setters, operators, and tenders, except sawing",8540,"51-7042","51","51-7000","51-7040"
"413",8550,"miscellaneous woodworkers, including model makers and patternmakers",8550,NA,"Woodworkers, all other",8550,"51-7099","51","51-7000","51-7090"
"414",8600,"power plant operators, distributors, and dispatchers",8600,NA,"Power plant operators, distributors, and dispatchers",8600,"51-8010","51","51-8000","51-8010"
"415",8610,"stationary engineers and boiler operators",8610,NA,"Stationary engineers and boiler operators",8610,"51-8021","51","51-8000","51-8020"
"416",8620,"water and wastewater treatment plant and system operators",8620,NA,"Water and wastewater treatment plant and system operators",8620,"51-8031","51","51-8000","51-8030"
"417",8630,"miscellaneous plant and system operators",8630,NA,"Miscellaneous plant and system operators",8630,"51-8090","51","51-8000","51-8090"
"418",8640,"chemical processing machine setters, operators, and tenders",8640,NA,"Chemical processing machine setters, operators, and tenders",8640,"51-9010","51","51-9000","51-9010"
"419",8650,"crushing, grinding, polishing, mixing, and blending workers",8650,NA,"Crushing, grinding, polishing, mixing, and blending workers",8650,"51-9020","51","51-9000","51-9020"
"420",8710,"cutting workers",8710,NA,"Cutting workers",8710,"51-9030","51","51-9000","51-9030"
"421",8720,"extruding, forming, pressing, and compacting machine setters, operators, and tenders",8720,NA,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",8720,"51-9041","51","51-9000","51-9040"
"422",8730,"furnace, kiln, oven, drier, and kettle operators and tenders",8730,NA,"Furnace, kiln, oven, drier, and kettle operators and tenders",8730,"51-9051","51","51-9000","51-9050"
"423",8740,"inspectors, testers, sorters, samplers, and weighers",8740,NA,"Inspectors, testers, sorters, samplers, and weighers",8740,"51-9061","51","51-9000","51-9060"
"424",8750,"jewelers and precious stone and metal workers",8750,NA,"Jewelers and precious stone and metal workers",8750,"51-9071","51","51-9000","51-9070"
"425",8760,"medical, dental, and ophthalmic laboratory technicians",8760,NA,"Medical, dental, and ophthalmic laboratory technicians",8760,"51-9080","51","51-9000","51-9080"
"426",8800,"packaging and filling machine operators and tenders",8800,NA,"Packaging and filling machine operators and tenders",8800,"51-9111","51","51-9000","51-9110"
"427",8810,"painting workers",8810,NA,"Painting workers",8810,"51-9120","51","51-9000","51-9120"
"428",8830,"photographic process workers and processing machine operators",8830,NA,"Photographic process workers and processing machine operators",8830,"51-9151","51","51-9000","51-9150"
"429",8850,"adhesive bonding machine operators and tenders",8850,NA,"Adhesive bonding machine operators and tenders",8850,"51-9191","51","51-9000","51-9190"
"430",8910,"etchers and engravers",8910,NA,"Etchers and engravers",8910,"51-9194","51","51-9000","51-9190"
"431",8920,"molders, shapers, and casters, except metal and plastic",8920,NA,"Molders, shapers, and casters, except metal and plastic",8920,"51-9195","51","51-9000","51-9190"
"432",8930,"paper goods machine setters, operators, and tenders",8930,NA,"Paper goods machine setters, operators, and tenders",8930,"51-9196","51","51-9000","51-9190"
"433",8940,"tire builders",8940,NA,"Tire builders",8940,"51-9197","51","51-9000","51-9190"
"434",8950,"helpers--production workers",8950,NA,"Helpers--production workers",8950,"51-9198","51","51-9000","51-9190"
"435",8965,"miscellaneous production workers, including semiconductor processors",8965,NA,"Production workers, all other",8965,"51-9199","51","51-9000","51-9190"
"436",9000,"supervisors of transportation and material moving workers",9000,NA,"Supervisors of transportation and material moving workers",9000,"53-1000","53","53-1000","53-1000"
"437",9030,"aircraft pilots and flight engineers",9030,NA,"Aircraft pilots and flight engineers",9030,"53-2010","53","53-2000","53-2010"
"438",9040,"air traffic controllers and airfield operations specialists",9040,NA,"Air traffic controllers and airfield operations specialists",9040,"53-2020","53","53-2000","53-2020"
"439",9050,"flight attendants",9050,NA,"Flight attendants",9050,"53-2031","53","53-2000","53-2030"
"440",9110,"ambulance drivers and attendants, except emergency medical technicians",9100,NA,"Ambulance drivers and attendants, except emergency medical technicians",9110,"53-3011","53","53-3000","53-3010"
"441",9120,"bus drivers",9100,NA,"Bus drivers",9120,"53-3020","53","53-3000","53-3020"
"442",9130,"driver/sales workers and truck drivers",9130,NA,"Driver/sales workers and truck drivers",9130,"53-3030","53","53-3000","53-3030"
"443",9140,"taxi drivers and chauffeurs",9140,NA,"Taxi drivers and chauffeurs",9140,"53-3041","53","53-3000","53-3040"
"444",9200,"locomotive engineers and operators",9200,NA,"Locomotive engineers and operators",9200,"53-4010","53","53-4000","53-4010"
"445",9240,"railroad conductors and yardmasters",9240,NA,"Railroad conductors and yardmasters",9240,"53-4031","53","53-4000","53-4030"
"446",9260,"subway, streetcar, and other rail transportation workers",9260,NA,"Subway, streetcar, and other rail transportation workers",9260,"53-40XX","53","53-4000","53-40X0"
"447",9300,"sailors and marine oilers, and ship engineers",9300,NA,"Sailors and marine oilers",9300,"53-5011","53","53-5000","53-5010"
"448",9310,"ship and boat captains and operators",9310,NA,"Ship and boat captains and operators",9310,"53-5020","53","53-5000","53-5020"
"449",9350,"parking lot attendants",9350,NA,"Parking lot attendants",9350,"53-6021","53","53-6000","53-6020"
"450",9360,"automotive and watercraft service attendants   ",9360,NA,"Automotive and watercraft service attendants",9360,"53-6031","53","53-6000","53-6030"
"451",9410,"transportation inspectors",9410,NA,"Transportation inspectors",9410,"53-6051","53","53-6000","53-6050"
"452",9415,"transportation attendants, except flight attendants",9410,NA,"Transportation attendants, except flight attendants",9415,"53-6061","53","53-6000","53-6060"
"453",9420,"miscellaneous transportation workers, including bridge and lock tenders and traffic technicians",9420,NA,"Other transportation workers",9420,"53-60XX","53","53-6000","53-60X0"
"454",9510,"crane and tower operators",9510,NA,"Crane and tower operators",9510,"53-7021","53","53-7000","53-7020"
"455",9520,"dredge, excavating, and loading machine operators",9520,NA,"Dredge, excavating, and loading machine operators",9520,"53-7030","53","53-7000","53-7030"
"456",9560,"conveyor operators and tenders, and hoist and winch operators",9560,NA,"Hoist and winch operators",9560,"53-7041","53","53-7000","53-7040"
"457",9600,"industrial truck and tractor operators",9600,NA,"Industrial truck and tractor operators",9600,"53-7051","53","53-7000","53-7050"
"458",9610,"cleaners of vehicles and equipment",9610,NA,"Cleaners of vehicles and equipment",9610,"53-7061","53","53-7000","53-7060"
"459",9620,"laborers and freight, stock, and material movers, hand",9620,NA,"Laborers and freight, stock, and material movers, hand",9620,"53-7062","53","53-7000","53-7060"
"460",9630,"machine feeders and offbearers",9630,NA,"Machine feeders and offbearers",9630,"53-7063","53","53-7000","53-7060"
"461",9640,"packers and packagers, hand",9640,NA,"Packers and packagers, hand",9640,"53-7064","53","53-7000","53-7060"
"462",9650,"pumping station operators",9650,NA,"Pumping station operators",9650,"53-7070","53","53-7000","53-7070"
"463",9720,"refuse and recyclable material collectors",9720,NA,"Refuse and recyclable material collectors",9720,"53-7081","53","53-7000","53-7080"
"464",9750,"miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders",9750,NA,"Material moving workers, all other",9750,"53-7199","53","53-7000","53-7190"
