"","acs_occ_code","OCC2010_cps","acs_occ_code_label","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"197",3646,3640,"3646",NA,"Medical transcriptionists",3646,"31-9094","31","31-9000","31-9090"
"198",3647,3640,"3647",NA,"Pharmacy aides",3647,"31-9095","31","31-9000","31-9090"
"199",3648,3640,"3648",NA,"Veterinary assistants and laboratory animal caretakers",3648,"31-9096","31","31-9000","31-9090"
"200",3649,3640,"3649",NA,"Phlebotomists",3649,"31-9097","31","31-9000","31-9090"
"201",3655,3650,"3655",NA,"Healthcare support workers, all other, including medical equipment preparers",3655,"31-909X","31","31-9000","31-9090"
"202",3700,3700,"First-Line Supervisors of Correctional Officers",NA,"First-line supervisors of correctional officers",3700,"33-1011","33","33-1000","33-1010"
"203",3710,3710,"First-Line Supervisors of Police and Detectives",NA,"First-line supervisors of police and detectives",3710,"33-1012","33","33-1000","33-1010"
"204",3720,3720,"First-Line Supervisors of Fire Fighting and Prevention Workers",NA,"First-line supervisors of fire fighting and prevention workers",3720,"33-1021","33","33-1000","33-1020"
"205",3730,3730,"Supervisors, Protective Service Workers, All Other",NA,"First-line supervisors of protective service workers, all other",3730,"33-1099","33","33-1000","33-1090"
"206",3740,3740,"Firefighters",NA,"Firefighters",3740,"33-2011","33","33-2000","33-2010"
"207",3750,3750,"Fire Inspectors",NA,"Fire inspectors",3750,"33-2020","33","33-2000","33-2020"
"208",3800,3800,"Sheriffs, Bailiffs, Correctional Officers, and Jailers",NA,"Bailiffs, correctional officers, and jailers",3800,"33-3010","33","33-3000","33-3010"
"209",3820,3820,"Police Officers and Detectives",NA,"Detectives and criminal investigators",3820,"33-3021","33","33-3000","33-3020"
"210",3830,3820,"3830",NA,"Fish and game wardens",3830,"33-3031","33","33-3000","33-3030"
"211",3840,3820,"3840",NA,"Parking enforcement workers",3840,"33-3041","33","33-3000","33-3040"
"212",3850,3820,"3850",NA,"Police and sheriff's patrol officers",3850,"33-3051","33","33-3000","33-3050"
"213",3860,3820,"3860",NA,"Transit and railroad police",3860,"33-3052","33","33-3000","33-3050"
"214",3900,3900,"Animal Control",NA,"Animal control workers",3900,"33-9011","33","33-9000","33-9010"
"215",3910,3910,"Private Detectives and Investigators",NA,"Private detectives and investigators",3910,"33-9021","33","33-9000","33-9020"
"216",3930,3930,"Security Guards and Gaming Surveillance Officers",NA,"Security guards and gaming surveillance officers",3930,"33-9030","33","33-9000","33-9030"
"217",3940,3940,"Crossing Guards",NA,"Crossing guards",3940,"33-9091","33","33-9000","33-9090"
"218",3945,3940,"3945",NA,"Transportation security screeners",3945,"33-9093","33","33-9000","33-9090"
"219",3955,3950,"3955",NA,"Lifeguards and other recreational, and all other protective service workers",3955,"33-909X","33","33-9000","33-9090"
"220",4000,4000,"Chefs and Cooks",NA,"Chefs and head cooks",4000,"35-1011","35","35-1000","35-1010"
"221",4010,4010,"First-Line Supervisors of Food Preparation and Serving Workers",NA,"First-line supervisors of food preparation and serving workers",4010,"35-1012","35","35-1000","35-1010"
"222",4020,4010,"4020",NA,"Cooks",4020,"35-2010","35","35-2000","35-2010"
"223",4030,4030,"Food Preparation Workers",NA,"Food preparation workers",4030,"35-2021","35","35-2000","35-2020"
"224",4040,4040,"Bartenders",NA,"Bartenders",4040,"35-3011","35","35-3000","35-3010"
"225",4050,4050,"Combined Food Preparation and Serving Workers, Including Fast Food",NA,"Combined food preparation and serving workers, including fast food",4050,"35-3021","35","35-3000","35-3020"
"226",4060,4060,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",NA,"Counter attendants, cafeteria, food concession, and coffee shop",4060,"35-3022","35","35-3000","35-3020"
"227",4110,4110,"Waiters and Waitresses",NA,"Waiters and waitresses",4110,"35-3031","35","35-3000","35-3030"
"228",4120,4120,"Food Servers, Nonrestaurant",NA,"Food servers, nonrestaurant",4120,"35-3041","35","35-3000","35-3040"
"229",4130,4130,"Food preparation and serving related workers, nec",NA,"Dining room and cafeteria attendants and bartender helpers",4130,"35-9011","35","35-9000","35-9010"
"230",4140,4140,"Dishwashers",NA,"Dishwashers",4140,"35-9021","35","35-9000","35-9020"
"231",4150,4150,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",NA,"Hosts and hostesses, restaurant, lounge, and coffee shop",4150,"35-9031","35","35-9000","35-9030"
"232",4160,4150,"4160",NA,"Food preparation and serving related workers, all other",4160,"35-9099","35","35-9000","35-9090"
"233",4200,4200,"First-Line Supervisors of Housekeeping and Janitorial Workers",NA,"First-line supervisors of housekeeping and janitorial workers",4200,"37-1011","37","37-1000","37-1010"
"234",4210,4210,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",NA,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,"37-1012","37","37-1000","37-1010"
"235",4220,4220,"Janitors and Building Cleaners",NA,"Janitors and building cleaners",4220,"37-201X","37","37-2000","37-2010"
"236",4230,4230,"Maids and Housekeeping Cleaners",NA,"Maids and housekeeping cleaners",4230,"37-2012","37","37-2000","37-2010"
"237",4240,4240,"Pest Control Workers",NA,"Pest control workers",4240,"37-2021","37","37-2000","37-2020"
"238",4250,4250,"Grounds Maintenance Workers",NA,"Grounds maintenance workers",4250,"37-3010","37","37-3000","37-3010"
"239",4300,4300,"First-Line Supervisors of Gaming Workers",NA,"First-line supervisors of gaming workers",4300,"39-1010","39","39-1000","39-1010"
"240",4320,4320,"First-Line Supervisors of Personal Service Workers",NA,"First-line supervisors of personal service workers",4320,"39-1021","39","39-1000","39-1020"
"241",4340,4340,"Animal Trainers",NA,"Animal trainers",4340,"39-2011","39","39-2000","39-2010"
"242",4350,4350,"Nonfarm Animal Caretakers",NA,"Nonfarm animal caretakers",4350,"39-2021","39","39-2000","39-2020"
"243",4400,4400,"Gaming Services Workers",NA,"Gaming services workers",4400,"39-3010","39","39-3000","39-3010"
"244",4410,4400,"4410",NA,"Motion picture projectionists",4410,"39-3021","39","39-3000","39-3020"
"245",4420,4420,"Ushers, Lobby Attendants, and Ticket Takers",NA,"Ushers, lobby attendants, and ticket takers",4420,"39-3031","39","39-3000","39-3030"
"246",4430,4430,"Entertainment Attendants and Related Workers, nec",NA,"Miscellaneous entertainment attendants and related workers",4430,"39-3090","39","39-3000","39-3090"
"247",4460,4460,"Funeral Service Workers and Embalmers",NA,"Embalmers and funeral attendants",4460,"39-40XX","39","39-4000","39-40X0"
"248",4465,4460,"4465",NA,"Morticians, undertakers, and funeral directors",4465,"39-4031","39","39-4000","39-4030"
"249",4500,4500,"Barbers",NA,"Barbers",4500,"39-5011","39","39-5000","39-5010"
"250",4510,4510,"Hairdressers, Hairstylists, and Cosmetologists",NA,"Hairdressers, hairstylists, and cosmetologists",4510,"39-5012","39","39-5000","39-5010"
"251",4520,4520,"Personal Appearance Workers, nec",NA,"Miscellaneous personal appearance workers",4520,"39-5090","39","39-5000","39-5090"
"252",4530,4530,"Baggage Porters, Bellhops, and Concierges",NA,"Baggage porters, bellhops, and concierges",4530,"39-6010","39","39-6000","39-6010"
"253",4540,4540,"Tour and Travel Guides",NA,"Tour and travel guides",4540,"39-7010","39","39-7000","39-7010"
"254",4600,4600,"Childcare Workers",NA,"Childcare workers",4600,"39-9011","39","39-9000","39-9010"
"255",4610,4610,"Personal Care Aides",NA,"Personal care aides",4610,"39-9021","39","39-9000","39-9020"
"256",4620,4620,"Recreation and Fitness Workers",NA,"Recreation and fitness workers",4620,"39-9030","39","39-9000","39-9030"
"257",4640,4640,"Residential Advisors",NA,"Residential advisors",4640,"39-9041","39","39-9000","39-9040"
"258",4650,4650,"Personal Care and Service Workers, All Other",NA,"Personal care and service workers, all other",4650,"39-9099","39","39-9000","39-9090"
"259",4700,4700,"First-Line Supervisors of Sales Workers",NA,"First-line supervisors of retail sales workers",4700,"41-1011","41","41-1000","41-1010"
"260",4710,4700,"4710",NA,"First-line supervisors of non-retail sales workers",4710,"41-1012","41","41-1000","41-1010"
"261",4720,4720,"Cashiers",NA,"Cashiers",4720,"41-2010","41","41-2000","41-2010"
"262",4740,4740,"Counter and Rental Clerks",NA,"Counter and rental clerks",4740,"41-2021","41","41-2000","41-2020"
"263",4750,4750,"Parts Salespersons",NA,"Parts salespersons",4750,"41-2022","41","41-2000","41-2020"
"264",4760,4760,"Retail Salespersons",NA,"Retail salespersons",4760,"41-2031","41","41-2000","41-2030"
"265",4800,4800,"Advertising Sales Agents",NA,"Advertising sales agents",4800,"41-3011","41","41-3000","41-3010"
"266",4810,4810,"Insurance Sales Agents",NA,"Insurance sales agents",4810,"41-3021","41","41-3000","41-3020"
"267",4820,4820,"Securities, Commodities, and Financial Services Sales Agents",NA,"Securities, commodities, and financial services sales agents",4820,"41-3031","41","41-3000","41-3030"
"268",4830,4830,"Travel Agents",NA,"Travel agents",4830,"41-3041","41","41-3000","41-3040"
"269",4840,4840,"Sales Representatives, Services, All Other",NA,"Sales representatives, services, all other",4840,"41-3099","41","41-3000","41-3090"
"270",4850,4850,"Sales Representatives, Wholesale and Manufacturing",NA,"Sales representatives, wholesale and manufacturing",4850,"41-4010","41","41-4000","41-4010"
"271",4900,4900,"Models, Demonstrators, and Product Promoters",NA,"Models, demonstrators, and product promoters",4900,"41-9010","41","41-9000","41-9010"
"272",4920,4920,"Real Estate Brokers and Sales Agents",NA,"Real estate brokers and sales agents",4920,"41-9020","41","41-9000","41-9020"
"273",4930,4930,"Sales Engineers",NA,"Sales engineers",4930,"41-9031","41","41-9000","41-9030"
"274",4940,4940,"Telemarketers",NA,"Telemarketers",4940,"41-9041","41","41-9000","41-9040"
"275",4950,4950,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",NA,"Door-to-door sales workers, news and street vendors, and related workers",4950,"41-9091","41","41-9000","41-9090"
"276",4965,4965,"Sales and Related Workers, All Other",NA,"Sales and related workers, all other",4965,"41-9099","41","41-9000","41-9090"
"277",5000,5000,"First-Line Supervisors of Office and Administrative Support Workers",NA,"First-line supervisors of office and administrative support workers",5000,"43-1011","43","43-1000","43-1010"
"278",5010,5010,"Switchboard Operators, Including Answering Service",NA,"Switchboard operators, including answering service",5010,"43-2011","43","43-2000","43-2010"
"279",5020,5020,"Telephone Operators",NA,"Telephone operators",5020,"43-2021","43","43-2000","43-2020"
"280",5030,5030,"Communications Equipment Operators, All Other",NA,"Communications equipment operators, all other",5030,"43-2099","43","43-2000","43-2090"
"281",5100,5100,"Bill and Account Collectors",NA,"Bill and account collectors",5100,"43-3011","43","43-3000","43-3010"
"282",5110,5110,"Billing and Posting Clerks",NA,"Billing and posting clerks",5110,"43-3021","43","43-3000","43-3020"
"283",5120,5120,"Bookkeeping, Accounting, and Auditing Clerks",NA,"Bookkeeping, accounting, and auditing clerks",5120,"43-3031","43","43-3000","43-3030"
"284",5130,5130,"Gaming Cage Workers",NA,"Gaming cage workers",5130,"43-3041","43","43-3000","43-3040"
"285",5140,5140,"Payroll and Timekeeping Clerks",NA,"Payroll and timekeeping clerks",5140,"43-3051","43","43-3000","43-3050"
"286",5150,5150,"Procurement Clerks",NA,"Procurement clerks",5150,"43-3061","43","43-3000","43-3060"
"287",5160,5160,"Bank Tellers",NA,"Tellers",5160,"43-3071","43","43-3000","43-3070"
"288",5165,5165,"Financial Clerks, nec",NA,"Financial clerks, all other",5165,"43-3099","43","43-3000","43-3090"
"289",5200,5200,"Brokerage Clerks",NA,"Brokerage clerks",5200,"43-4011","43","43-4000","43-4010"
"290",5210,5200,"5210",NA,"Correspondence clerks",5210,"43-4021","43","43-4000","43-4020"
"291",5220,5220,"Court, Municipal, and License Clerks",NA,"Court, municipal, and license clerks",5220,"43-4031","43","43-4000","43-4030"
"292",5230,5230,"Credit Authorizers, Checkers, and Clerks",NA,"Credit authorizers, checkers, and clerks",5230,"43-4041","43","43-4000","43-4040"
"293",5240,5240,"Customer Service Representatives",NA,"Customer service representatives",5240,"43-4051","43","43-4000","43-4050"
"294",5250,5250,"Eligibility Interviewers, Government Programs",NA,"Eligibility interviewers, government programs",5250,"43-4061","43","43-4000","43-4060"
"295",5260,5260,"File Clerks",NA,"File clerks",5260,"43-4071","43","43-4000","43-4070"
"296",5300,5300,"Hotel, Motel, and Resort Desk Clerks",NA,"Hotel, motel, and resort desk clerks",5300,"43-4081","43","43-4000","43-4080"
"297",5310,5310,"Interviewers, Except Eligibility and Loan",NA,"Interviewers, except eligibility and loan",5310,"43-4111","43","43-4000","43-4110"
"298",5320,5320,"Library Assistants, Clerical",NA,"Library assistants, clerical",5320,"43-4121","43","43-4000","43-4120"
"299",5330,5330,"Loan Interviewers and Clerks",NA,"Loan interviewers and clerks",5330,"43-4131","43","43-4000","43-4130"
"300",5340,5340,"New Account Clerks",NA,"New accounts clerks",5340,"43-4141","43","43-4000","43-4140"
"301",5350,5350,"Correspondent clerks and order clerks",NA,"Order clerks",5350,"43-4151","43","43-4000","43-4150"
"302",5360,5360,"Human Resources Assistants, Except Payroll and Timekeeping",NA,"Human resources assistants, except payroll and timekeeping",5360,"43-4161","43","43-4000","43-4160"
"303",5400,5400,"Receptionists and Information Clerks",NA,"Receptionists and information clerks",5400,"43-4171","43","43-4000","43-4170"
"304",5410,5410,"Reservation and Transportation Ticket Agents and Travel Clerks",NA,"Reservation and transportation ticket agents and travel clerks",5410,"43-4181","43","43-4000","43-4180"
"305",5420,5420,"Information and Record Clerks, All Other",NA,"Information and record clerks, all other",5420,"43-4199","43","43-4000","43-4190"
"306",5500,5500,"Cargo and Freight Agents",NA,"Cargo and freight agents",5500,"43-5011","43","43-5000","43-5010"
"307",5510,5510,"Couriers and Messengers",NA,"Couriers and messengers",5510,"43-5021","43","43-5000","43-5020"
"308",5520,5520,"Dispatchers",NA,"Dispatchers",5520,"43-5030","43","43-5000","43-5030"
"309",5530,5530,"Meter Readers, Utilities",NA,"Meter readers, utilities",5530,"43-5041","43","43-5000","43-5040"
"310",5540,5540,"Postal Service Clerks",NA,"Postal service clerks",5540,"43-5051","43","43-5000","43-5050"
"311",5550,5550,"Postal Service Mail Carriers",NA,"Postal service mail carriers",5550,"43-5052","43","43-5000","43-5050"
"312",5560,5560,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",NA,"Postal service mail sorters, processors, and processing machine operators",5560,"43-5053","43","43-5000","43-5050"
"313",5600,5600,"Production, Planning, and Expediting Clerks",NA,"Production, planning, and expediting clerks",5600,"43-5061","43","43-5000","43-5060"
"314",5610,5610,"Shipping, Receiving, and Traffic Clerks",NA,"Shipping, receiving, and traffic clerks",5610,"43-5071","43","43-5000","43-5070"
"315",5620,5620,"Stock Clerks and Order Fillers",NA,"Stock clerks and order fillers",5620,"43-5081","43","43-5000","43-5080"
"316",5630,5630,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",NA,"Weighers, measurers, checkers, and samplers, recordkeeping",5630,"43-5111","43","43-5000","43-5110"
"317",5700,5700,"Secretaries and Administrative Assistants",NA,"Secretaries and administrative assistants",5700,"43-6010","43","43-6000","43-6010"
"318",5800,5800,"Computer Operators",NA,"Computer operators",5800,"43-9011","43","43-9000","43-9010"
"319",5810,5810,"Data Entry Keyers",NA,"Data entry keyers",5810,"43-9021","43","43-9000","43-9020"
"320",5820,5820,"Word Processors and Typists",NA,"Word processors and typists",5820,"43-9022","43","43-9000","43-9020"
"321",5830,5820,"5830",NA,"Desktop publishers",5830,"43-9031","43","43-9000","43-9030"
"322",5840,5840,"Insurance Claims and Policy Processing Clerks",NA,"Insurance claims and policy processing clerks",5840,"43-9041","43","43-9000","43-9040"
"323",5850,5850,"Mail Clerks and Mail Machine Operators, Except Postal Service",NA,"Mail clerks and mail machine operators, except postal service",5850,"43-9051","43","43-9000","43-9050"
"324",5860,5860,"Office Clerks, General",NA,"Office clerks, general",5860,"43-9061","43","43-9000","43-9060"
"325",5900,5900,"Office Machine Operators, Except Computer",NA,"Office machine operators, except computer",5900,"43-9071","43","43-9000","43-9070"
"326",5910,5910,"Proofreaders and Copy Markers",NA,"Proofreaders and copy markers",5910,"43-9081","43","43-9000","43-9080"
"327",5920,5920,"Statistical Assistants",NA,"Statistical assistants",5920,"43-9111","43","43-9000","43-9110"
"328",5940,5940,"Office and administrative support workers, nec",NA,"Office and administrative support workers, all other",5940,"43-9199","43","43-9000","43-9190"
"329",6005,6005,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",NA,"First-line supervisors of farming, fishing, and forestry workers",6005,"45-1011","45","45-1000","45-1010"
"330",6010,6010,"Agricultural Inspectors",NA,"Agricultural inspectors",6010,"45-2011","45","45-2000","45-2010"
"331",6020,6010,"6020",NA,"Animal breeders",6020,"45-2021","45","45-2000","45-2020"
"332",6040,6040,"Graders and Sorters, Agricultural Products",NA,"Graders and sorters, agricultural products",6040,"45-2041","45","45-2000","45-2040"
"333",6050,6050,"Agricultural workers, nec",NA,"Miscellaneous agricultural workers",6050,"45-2090","45","45-2000","45-2090"
"334",6120,6120,"Forest and Conservation Workers",NA,"Forest and conservation workers",6120,"45-4011","45","45-4000","45-4010"
"335",6130,6130,"Logging Workers",NA,"Logging workers",6130,"45-4020","45","45-4000","45-4020"
"336",6200,6200,"First-Line Supervisors of Construction Trades and Extraction Workers",NA,"First-line supervisors of construction trades and extraction workers",6200,"47-1011","47","47-1000","47-1010"
"337",6210,6210,"Boilermakers",NA,"Boilermakers",6210,"47-2011","47","47-2000","47-2010"
"338",6220,6220,"Brickmasons, Blockmasons, and Stonemasons",NA,"Brickmasons, blockmasons, and stonemasons",6220,"47-2020","47","47-2000","47-2020"
"339",6230,6230,"Carpenters",NA,"Carpenters",6230,"47-2031","47","47-2000","47-2030"
"340",6240,6240,"Carpet, Floor, and Tile Installers and Finishers",NA,"Carpet, floor, and tile installers and finishers",6240,"47-2040","47","47-2000","47-2040"
"341",6250,6250,"Cement Masons, Concrete Finishers, and Terrazzo Workers",NA,"Cement masons, concrete finishers, and terrazzo workers",6250,"47-2050","47","47-2000","47-2050"
"342",6260,6260,"Construction Laborers",NA,"Construction laborers",6260,"47-2061","47","47-2000","47-2060"
"343",6300,6300,"Paving, Surfacing, and Tamping Equipment Operators",NA,"Paving, surfacing, and tamping equipment operators",6300,"47-2071","47","47-2000","47-2070"
"344",6310,6300,"6310",NA,"Pile-driver operators",6310,"47-2072","47","47-2000","47-2070"
"345",6320,6320,"Construction equipment operators except paving, surfacing, and tamping equipment operators",NA,"Operating engineers and other construction equipment operators",6320,"47-2073","47","47-2000","47-2070"
"346",6330,6330,"Drywall Installers, Ceiling Tile Installers, and Tapers",NA,"Drywall installers, ceiling tile installers, and tapers",6330,"47-2080","47","47-2000","47-2080"
"347",6355,6355,"Electricians",NA,"Electricians",6355,"47-2111","47","47-2000","47-2110"
"348",6360,6360,"Glaziers",NA,"Glaziers",6360,"47-2121","47","47-2000","47-2120"
"349",6400,6400,"Insulation Workers",NA,"Insulation workers",6400,"47-2130","47","47-2000","47-2130"
"350",6420,6420,"Painters, Construction and Maintenance",NA,"Painters, construction and maintenance",6420,"47-2141","47","47-2000","47-2140"
"351",6430,6430,"Paperhangers",NA,"Paperhangers",6430,"47-2142","47","47-2000","47-2140"
"352",6440,6440,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",NA,"Pipelayers, plumbers, pipefitters, and steamfitters",6440,"47-2150","47","47-2000","47-2150"
"353",6460,6460,"Plasterers and Stucco Masons",NA,"Plasterers and stucco masons",6460,"47-2161","47","47-2000","47-2160"
"354",6500,6500,"Reinforcing Iron and Rebar Workers",NA,"Reinforcing iron and rebar workers",6500,"47-2171","47","47-2000","47-2170"
"355",6515,6515,"Roofers",NA,"Roofers",6515,"47-2181","47","47-2000","47-2180"
"356",6520,6520,"Sheet Metal Workers, metal-working",NA,"Sheet metal workers",6520,"47-2211","47","47-2000","47-2210"
"357",6530,6530,"Structural Iron and Steel Workers",NA,"Structural iron and steel workers",6530,"47-2221","47","47-2000","47-2220"
"358",6540,6530,"6540",NA,"Solar photovoltaic installers",6540,"47-2231","47","47-2000","47-2230"
"359",6600,6600,"Helpers, Construction Trades",NA,"Helpers, construction trades",6600,"47-3010","47","47-3000","47-3010"
"360",6660,6660,"Construction and Building Inspectors",NA,"Construction and building inspectors",6660,"47-4011","47","47-4000","47-4010"
"361",6700,6700,"Elevator Installers and Repairers",NA,"Elevator installers and repairers",6700,"47-4021","47","47-4000","47-4020"
"362",6710,6710,"Fence Erectors",NA,"Fence erectors",6710,"47-4031","47","47-4000","47-4030"
"363",6720,6720,"Hazardous Materials Removal Workers",NA,"Hazardous materials removal workers",6720,"47-4041","47","47-4000","47-4040"
"364",6730,6730,"Highway Maintenance Workers",NA,"Highway maintenance workers",6730,"47-4051","47","47-4000","47-4050"
"365",6740,6740,"Rail-Track Laying and Maintenance Equipment Operators",NA,"Rail-track laying and maintenance equipment operators",6740,"47-4061","47","47-4000","47-4060"
"366",6750,6740,"6750",NA,"Septic tank servicers and sewer pipe cleaners",6750,"47-4071","47","47-4000","47-4070"
"367",6765,6765,"Construction workers, nec",NA,"Miscellaneous construction and related workers",6765,"47-4090","47","47-4000","47-4090"
"368",6800,6800,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",NA,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",6800,"47-5010","47","47-5000","47-5010"
"369",6820,6820,"Earth Drillers, Except Oil and Gas",NA,"Earth drillers, except oil and gas",6820,"47-5021","47","47-5000","47-5020"
"370",6830,6830,"Explosives Workers, Ordnance Handling Experts, and Blasters",NA,"Explosives workers, ordnance handling experts, and blasters",6830,"47-5031","47","47-5000","47-5030"
"371",6840,6840,"Mining Machine Operators",NA,"Mining machine operators",6840,"47-5040","47","47-5000","47-5040"
"372",6910,6840,"6910",NA,"Roof bolters, mining",6910,"47-5061","47","47-5000","47-5060"
"373",6920,6840,"6920",NA,"Roustabouts, oil and gas",6920,"47-5071","47","47-5000","47-5070"
"374",6930,6840,"6930",NA,"Helpers--extraction workers",6930,"47-5081","47","47-5000","47-5080"
